Date,Open,High,Low,Close,Adj Close,Volume
2023-01-16,2160.000000,2200.000000,2150.000000,2180.000000,2093.774414,92259000
2023-01-17,2200.000000,2290.000000,2180.000000,2270.000000,2180.214600,242582700
2023-01-18,2260.000000,2270.000000,2210.000000,2260.000000,2170.610107,122109900
2023-01-19,2290.000000,2320.000000,2270.000000,2270.000000,2180.214600,132011300
2023-01-20,2300.000000,2340.000000,2280.000000,2320.000000,2228.236816,113403800
2023-01-24,2320.000000,2350.000000,2280.000000,2320.000000,2228.236816,65599100
2023-01-25,2340.000000,2350.000000,2250.000000,2290.000000,2199.423584,55275800
2023-01-26,2330.000000,2370.000000,2300.000000,2320.000000,2228.236816,91463800
2023-01-27,2330.000000,2330.000000,2290.000000,2300.000000,2209.028076,36469600
2023-01-30,2300.000000,2310.000000,2250.000000,2290.000000,2199.423584,58533200
2023-01-31,2300.000000,2340.000000,2290.000000,2310.000000,2218.632568,56896100
2023-02-01,2340.000000,2390.000000,2320.000000,2370.000000,2276.259277,134564600
2023-02-02,2350.000000,2380.000000,2320.000000,2350.000000,2257.050293,55219600
2023-02-03,2380.000000,2380.000000,2280.000000,2330.000000,2237.841309,69916100
2023-02-06,2280.000000,2320.000000,2260.000000,2270.000000,2180.214600,60509800
2023-02-07,2250.000000,2260.000000,2190.000000,2250.000000,2161.005615,130229800
2023-02-08,2260.000000,2280.000000,2220.000000,2240.000000,2151.401123,52970000
2023-02-09,2240.000000,2260.000000,2220.000000,2220.000000,2132.192139,50507500
2023-02-10,2250.000000,2250.000000,2180.000000,2220.000000,2132.192139,77590000
2023-02-13,2210.000000,2240.000000,2200.000000,2240.000000,2151.401123,27137900
2023-02-14,2240.000000,2250.000000,2200.000000,2210.000000,2122.587646,47466500
2023-02-15,2200.000000,2230.000000,2160.000000,2200.000000,2112.983398,66555700
2023-02-16,2200.000000,2210.000000,2100.000000,2110.000000,2026.543091,130493400
2023-02-17,2100.000000,2140.000000,2060.000000,2090.000000,2007.334106,90798900
2023-02-20,2080.000000,2090.000000,2020.000000,2080.000000,1997.729614,99587300
2023-02-21,2110.000000,2130.000000,2070.000000,2080.000000,1997.729614,70008500
2023-02-22,2080.000000,2090.000000,2030.000000,2050.000000,1968.916260,74407800
2023-02-23,2050.000000,2060.000000,2000.000000,2030.000000,1949.707275,74657800
2023-02-24,2020.000000,2040.000000,2000.000000,2000.000000,1920.893921,48747500
2023-02-27,2000.000000,2040.000000,1985.000000,2010.000000,1930.498413,60281100
2023-02-28,2030.000000,2040.000000,1990.000000,1990.000000,1911.289429,99649100
2023-03-01,1990.000000,2020.000000,1975.000000,2000.000000,1920.893921,49985200
2023-03-02,2010.000000,2040.000000,2000.000000,2010.000000,1930.498413,57745800
2023-03-03,2010.000000,2040.000000,1985.000000,1995.000000,1916.091675,63901300
2023-03-06,2000.000000,2020.000000,1955.000000,1960.000000,1882.476074,74031000
2023-03-07,1960.000000,1970.000000,1930.000000,1940.000000,1863.267090,76557300
2023-03-08,1920.000000,1930.000000,1870.000000,1885.000000,1810.442505,144493200
2023-03-09,1885.000000,1910.000000,1870.000000,1875.000000,1800.838013,75450900
2023-03-10,1865.000000,1895.000000,1850.000000,1880.000000,1805.640259,96320400
2023-03-13,1890.000000,1890.000000,1850.000000,1850.000000,1776.826904,60375200
2023-03-14,1865.000000,1885.000000,1810.000000,1815.000000,1743.211182,107452200
2023-03-15,1825.000000,1865.000000,1825.000000,1855.000000,1781.629150,67314600
2023-03-16,1850.000000,1855.000000,1770.000000,1795.000000,1724.002319,98076300
2023-03-17,1815.000000,1895.000000,1810.000000,1895.000000,1820.046997,109506100
2023-03-20,1905.000000,1930.000000,1875.000000,1900.000000,1824.849243,60151400
2023-03-21,1910.000000,1915.000000,1885.000000,1885.000000,1810.442505,36252300
2023-03-24,1895.000000,1940.000000,1885.000000,1895.000000,1820.046997,78590800
2023-03-27,1935.000000,2010.000000,1935.000000,1960.000000,1882.476074,128759700
2023-03-28,1970.000000,2010.000000,1970.000000,1995.000000,1916.091675,71821100
2023-03-29,2000.000000,2090.000000,2000.000000,2080.000000,1997.729614,147076200
2023-03-30,2070.000000,2090.000000,2040.000000,2090.000000,2007.334106,83062700
2023-03-31,2080.000000,2100.000000,2050.000000,2090.000000,2007.334106,63907600
